time,open,high,low,close
2023-01-03,0.070737,0.078749,0.070737,0.078749
2023-01-07,0.093086,0.109724,0.093086,0.104647
2023-01-11,0.103353,0.107169,0.101844,0.107169
2023-01-15,0.109491,0.132911,0.109491,0.132911
2023-01-19,0.127275,0.127275,0.115681,0.115681
2023-01-23,0.144351,0.182158,0.144351,0.175259
2023-01-27,0.180459,0.365508,0.180459,0.327927
2023-01-31,0.402209,0.445757,0.39251,0.39251
2023-02-03,0.413685,0.517099,0.413685,0.50171
2023-02-07,0.555597,0.624612,0.550729,0.624612
2023-02-11,0.727435,0.727435,0.514974,0.550371
2023-02-15,0.511244,0.533224,0.420216,0.420216
2023-02-19,0.517403,0.517403,0.4259,0.4259
2023-02-23,0.443076,0.503564,0.443076,0.494097
2023-02-27,0.495747,0.495747,0.405663,0.430409
2023-02-28,0.433393,0.451081,0.390863,0.390863
2023-03-07,0.355685,0.358116,0.345973,0.345973
2023-03-11,0.338368,0.338368,0.28862,0.288841
2023-03-15,0.26452,0.333349,0.26452,0.333349
2023-03-19,0.2968,0.343664,0.2968,0.31612
2023-03-23,0.311045,0.311045,0.269954,0.269954
2023-03-27,0.265376,0.265376,0.234179,0.236845
2023-03-31,0.23369,0.257253,0.23369,0.244782
2023-04-03,0.297482,0.297482,0.269386,0.269386
2023-04-07,0.282828,0.314755,0.282828,0.307552
2023-04-11,0.313934,0.329598,0.313934,0.329598
2023-04-15,0.331327,0.35486,0.327228,0.35486
2023-04-19,0.354041,0.354041,0.314654,0.314654
2023-04-23,0.28827,0.28827,0.264747,0.270209
2023-04-27,0.26456,0.264885,0.254503,0.262944
2023-04-30,0.274741,0.274741,0.267436,0.267436
2023-05-03,0.261869,0.261869,0.242628,0.242628
2023-05-07,0.241928,0.241928,0.230539,0.230539
2023-05-11,0.230014,0.230014,0.212053,0.216817
2023-05-15,0.214378,0.215,0.213169,0.214077
2023-05-19,0.220606,0.220606,0.18434,0.18434
2023-05-23,0.183154,0.183154,0.148259,0.148259
2023-05-27,0.161618,0.161618,0.15464,0.155446
2023-05-31,0.155829,0.165788,0.155829,0.165788
2023-06-03,0.160341,0.167471,0.160341,0.167471
2023-06-07,0.166087,0.16724,0.152976,0.15815
2023-06-11,0.153651,0.153651,0.135524,0.135524
2023-06-15,0.135229,0.135229,0.122342,0.122342
2023-06-19,0.119736,0.1226,0.113674,0.113674
2023-06-23,0.110411,0.114961,0.109194,0.112375
2023-06-27,0.111288,0.113861,0.109754,0.109754
2023-06-30,0.103104,0.103104,0.099297,0.099297
2023-07-03,0.10422,0.106987,0.10422,0.105008
2023-07-07,0.116513,0.127438,0.116513,0.127438
2023-07-11,0.120209,0.123608,0.119796,0.123578
2023-07-15,0.128894,0.148842,0.128894,0.145192
2023-07-19,0.143591,0.143591,0.135723,0.135723
2023-07-23,0.142014,0.142014,0.137612,0.137612
2023-07-27,0.134612,0.134612,0.126693,0.127616
2023-07-31,0.125135,0.125135,0.123432,0.123432
2023-08-03,0.120672,0.121031,0.118524,0.118524
2023-08-07,0.113781,0.113781,0.109205,0.109205
2023-08-11,0.106638,0.110567,0.103999,0.103999
2023-08-15,0.105487,0.107459,0.105487,0.107459
2023-08-19,0.105232,0.105232,0.094422,0.094422
2023-08-23,0.095748,0.095844,0.091646,0.091646
2023-08-27,0.09191,0.09191,0.089759,0.090085
2023-08-31,0.089947,0.09213,0.089939,0.090314
2023-09-03,0.088195,0.088195,0.087718,0.087952
2023-09-07,0.088857,0.088857,0.087536,0.088299
2023-09-11,0.087395,0.087395,0.085841,0.085841
2023-09-15,0.083117,0.089058,0.083117,0.089058
2023-09-19,0.094494,0.130944,0.094494,0.130944
2023-09-23,0.128136,0.128136,0.112284,0.113797
2023-09-27,0.113242,0.113242,0.110638,0.111745
2023-09-30,0.135806,0.157223,0.135806,0.157223
2023-10-03,0.172034,0.208232,0.172034,0.195313
2023-10-07,0.23741,0.262416,0.219272,0.262416
2023-10-11,0.256523,0.256523,0.200296,0.200296
2023-10-15,0.201156,0.238192,0.201156,0.238192
2023-10-19,0.241552,0.241552,0.210208,0.210208
2023-10-23,0.223031,0.282067,0.223031,0.282067
2023-10-27,0.274712,0.29584,0.269303,0.269303
2023-10-31,0.264296,0.314376,0.264296,0.297264
2023-11-03,0.287133,0.301262,0.271782,0.271782
2023-11-07,0.252866,0.296417,0.252866,0.296417
2023-11-11,0.284995,0.284995,0.226221,0.226221
2023-11-15,0.226885,0.26784,0.226885,0.247501
2023-11-19,0.259671,0.274567,0.259671,0.270998
2023-11-23,0.273531,0.296778,0.273531,0.296778
2023-11-27,0.301791,0.377056,0.301791,0.358024
2023-11-30,0.345921,0.364381,0.345921,0.362835
2023-12-03,0.401368,0.408831,0.401368,0.402282
2023-12-07,0.423521,0.423521,0.380263,0.380263
2023-12-11,0.376449,0.378254,0.368756,0.370744
2023-12-15,0.35737,0.35737,0.333959,0.333959
2023-12-19,0.307044,0.308861,0.281052,0.281052
2023-12-23,0.262758,0.293552,0.262758,0.272059
2023-12-27,0.283446,0.315718,0.254266,0.315718
2023-12-31,0.35745,0.38142,0.33237,0.33237
2024-01-03,0.330593,0.330593,0.330593,0.330593
