time,open,high,low,close
2023-01-03,0.38612,0.399452,0.38612,0.399452
2023-01-07,0.394866,0.42223,0.394866,0.42223
2023-01-11,0.420231,0.495145,0.420231,0.495145
2023-01-15,0.490248,0.560912,0.490248,0.560912
2023-01-19,0.589906,0.61942,0.579389,0.579389
2023-01-23,0.586653,0.669315,0.586653,0.669315
2023-01-27,0.716426,0.716426,0.6452,0.67933
2023-01-31,0.67782,0.67782,0.647259,0.647259
2023-02-03,0.743059,0.872497,0.743059,0.872497
2023-02-07,0.958693,0.958693,0.875491,0.875491
2023-02-11,1.052,1.052,0.88262,0.959773
2023-02-15,1.088,1.14,0.970681,1.14
2023-02-19,1.23,1.23,1.053,1.053
2023-02-23,1.019,1.043,1.019,1.019
2023-02-27,1.045,1.045,0.960636,0.981762
2023-02-28,0.96618,1.063,0.96618,0.990014
2023-03-07,1.022,1.053,0.991514,1.053
2023-03-11,1.085,1.085,0.844989,0.844989
2023-03-15,0.812671,1.18,0.812671,1.18
2023-03-19,1.17,1.55,1.17,1.48
2023-03-23,1.47,1.47,1.19,1.19
2023-03-27,1.22,1.22,1.054,1.11
2023-03-31,1.024,1.13,1.024,1.12
2023-04-03,1.14,1.14,1.055,1.055
2023-04-07,1.049,1.11,1.049,1.06
2023-04-11,1.029,1.083,1.029,1.083
2023-04-15,1.086,1.22,1.086,1.22
2023-04-19,1.21,1.21,1.13,1.15
2023-04-23,1.035,1.035,0.931266,0.987276
2023-04-27,0.952607,0.976786,0.952607,0.959723
2023-04-30,1.062,1.062,1.01,1.01
2023-05-03,0.992122,0.992122,0.933137,0.933137
2023-05-07,0.941232,0.941232,0.858476,0.858476
2023-05-11,0.860964,0.860964,0.76455,0.785556
2023-05-15,0.734157,0.757382,0.734157,0.750303
2023-05-19,0.762591,0.787723,0.740983,0.766731
2023-05-23,0.764771,0.764771,0.721029,0.728757
2023-05-27,0.771039,0.771039,0.72337,0.736499
2023-05-31,0.731068,0.776353,0.731068,0.776353
2023-06-03,0.729869,0.803506,0.729869,0.803506
2023-06-07,0.794756,0.816385,0.735012,0.750246
2023-06-11,0.681925,0.7245,0.609839,0.609839
2023-06-15,0.601471,0.621801,0.579104,0.579104
2023-06-19,0.61233,0.630788,0.61233,0.619928
2023-06-23,0.622729,0.697236,0.622729,0.697236
2023-06-27,0.737582,0.739236,0.725497,0.725497
2023-06-30,0.753165,0.753165,0.698954,0.698954
2023-07-03,0.742351,0.751127,0.739245,0.751127
2023-07-07,0.763188,0.763188,0.694552,0.694552
2023-07-11,0.705409,0.705409,0.695029,0.695925
2023-07-15,0.696516,0.764921,0.692501,0.747916
2023-07-19,0.749877,0.752112,0.728719,0.728719
2023-07-23,0.727248,0.748397,0.727248,0.740209
2023-07-27,0.767551,0.767551,0.707932,0.717174
2023-07-31,0.727947,0.752296,0.727947,0.752296
2023-08-03,0.761509,0.799384,0.754062,0.754062
2023-08-07,0.753796,0.753796,0.736721,0.736721
2023-08-11,0.733029,0.733029,0.715588,0.715588
2023-08-15,0.710184,0.710184,0.691527,0.701388
2023-08-19,0.657725,0.657725,0.587265,0.598513
2023-08-23,0.616889,0.616889,0.576682,0.576682
2023-08-27,0.572559,0.57873,0.562431,0.571917
2023-08-31,0.575428,0.594311,0.572244,0.582026
2023-09-03,0.561506,0.561506,0.552011,0.552011
2023-09-07,0.543095,0.552201,0.543095,0.546095
2023-09-11,0.551555,0.551555,0.5145,0.5145
2023-09-15,0.488968,0.499934,0.485871,0.499934
2023-09-19,0.513053,0.537655,0.513053,0.532017
2023-09-23,0.544946,0.679741,0.544946,0.650161
2023-09-27,0.619225,0.619225,0.585877,0.585877
2023-09-30,0.566868,0.58197,0.566868,0.58197
2023-10-03,0.58909,0.614176,0.579115,0.579115
2023-10-07,0.568206,0.569203,0.552437,0.55854
2023-10-11,0.559443,0.559443,0.535107,0.540653
2023-10-15,0.524701,0.529536,0.517669,0.529536
2023-10-19,0.526977,0.5434,0.51523,0.51523
2023-10-23,0.518649,0.577673,0.518649,0.577673
2023-10-27,0.6346,0.654391,0.63155,0.654391
2023-10-31,0.637389,0.680514,0.637389,0.680514
2023-11-03,0.658045,0.693634,0.658045,0.693634
2023-11-07,0.694778,0.9298,0.694778,0.911274
2023-11-11,0.845514,1.11,0.845514,1.11
2023-11-15,1.17,1.19,1.12,1.12
2023-11-19,1.21,1.21,1.12,1.14
2023-11-23,1.36,1.38,1.27,1.38
2023-11-27,1.42,1.42,1.36,1.36
2023-11-30,1.34,1.34,1.28,1.28
2023-12-03,1.28,1.45,1.28,1.41
2023-12-07,1.43,1.43,1.37,1.37
2023-12-11,1.53,1.93,1.53,1.84
2023-12-15,2.05,2.18,1.99,2.18
2023-12-19,2.17,2.17,1.99,2.17
2023-12-23,2.06,2.4,2.06,2.3
2023-12-27,2.47,2.47,2.36,2.36
2023-12-31,2.49,2.49,2.23,2.23
2024-01-03,2.13,2.13,2.13,2.13
