time,open,high,low,close
2023-01-03,4.02,4.02,3.97,3.97
2023-01-07,3.91,3.95,3.82,3.91
2023-01-11,4.02,4.31,4.02,4.31
2023-01-15,4.34,5.12,4.34,5.12
2023-01-19,5.15,5.15,4.96,4.96
2023-01-23,5.14,5.57,5.14,5.57
2023-01-27,5.82,5.84,5.51,5.84
2023-01-31,6.04,6.27,5.78,5.78
2023-02-03,5.89,6.06,5.78,5.78
2023-02-07,5.88,5.88,5.45,5.45
2023-02-11,5.83,5.83,5.07,5.08
2023-02-15,5.28,5.53,5.28,5.53
2023-02-19,6.05,7.31,5.98,7.08
2023-02-23,7.33,7.34,6.72,6.72
2023-02-27,6.67,6.67,6.11,6.23
2023-02-28,6.13,6.17,5.8,5.92
2023-03-07,5.59,5.59,5.33,5.33
2023-03-11,5.34,5.34,4.77,4.92
2023-03-15,4.73,5.54,4.73,5.54
2023-03-19,5.19,5.67,5.19,5.35
2023-03-23,5.46,5.46,5.11,5.11
2023-03-27,5.23,5.23,4.93,5.0
2023-03-31,4.78,5.15,4.78,5.03
2023-04-03,5.2,5.25,5.08,5.08
2023-04-07,4.93,5.02,4.89,4.89
2023-04-11,5.0,5.19,4.92,5.19
2023-04-15,5.34,5.5,5.34,5.5
2023-04-19,5.91,6.81,5.91,6.81
2023-04-23,6.11,6.11,5.53,5.63
2023-04-27,5.43,5.49,5.31,5.31
2023-04-30,5.75,6.49,5.75,6.49
2023-05-03,6.45,6.45,5.74,5.74
2023-05-07,5.92,5.95,5.6,5.6
2023-05-11,5.57,5.57,5.28,5.3
2023-05-15,5.01,5.23,5.01,5.18
2023-05-19,5.25,5.37,5.23,5.27
2023-05-23,5.31,5.31,5.06,5.08
2023-05-27,5.04,5.04,4.82,4.83
2023-05-31,4.91,5.0,4.83,4.83
2023-06-03,4.69,4.81,4.67,4.81
2023-06-07,4.8,4.8,4.34,4.43
2023-06-11,4.2,4.26,3.7,3.7
2023-06-15,3.65,3.96,3.65,3.8
2023-06-19,3.95,3.99,3.95,3.95
2023-06-23,3.94,4.21,3.94,4.14
2023-06-27,4.32,4.33,4.25,4.25
2023-06-30,4.33,4.33,4.04,4.05
2023-07-03,4.09,4.22,4.09,4.19
2023-07-07,4.46,4.46,4.07,4.07
2023-07-11,4.1,4.1,4.03,4.08
2023-07-15,4.12,4.38,4.12,4.25
2023-07-19,4.21,4.21,4.07,4.07
2023-07-23,4.06,4.11,4.04,4.11
2023-07-27,4.21,4.21,4.01,4.09
2023-07-31,4.22,4.33,4.22,4.27
2023-08-03,4.21,4.23,4.14,4.14
2023-08-07,4.04,4.12,4.02,4.12
2023-08-11,4.09,4.11,4.02,4.02
2023-08-15,4.03,4.05,4.03,4.05
2023-08-19,3.83,3.83,3.4,3.51
2023-08-23,3.56,3.58,3.43,3.43
2023-08-27,3.6,3.6,3.51,3.55
2023-08-31,3.49,3.65,3.49,3.49
2023-09-03,3.34,3.34,3.24,3.26
2023-09-07,3.26,3.36,3.26,3.36
2023-09-11,3.36,3.36,3.1,3.1
2023-09-15,2.96,2.96,2.92,2.92
2023-09-19,2.99,3.01,2.93,2.99
2023-09-23,3.03,3.03,2.9,2.92
2023-09-27,2.96,3.0,2.92,2.96
2023-09-30,2.93,3.14,2.93,3.14
2023-10-03,3.16,3.31,3.13,3.13
2023-10-07,3.13,3.17,3.06,3.07
2023-10-11,3.1,3.1,2.92,2.97
2023-10-15,2.93,3.1,2.93,3.1
2023-10-19,3.15,3.17,3.06,3.06
2023-10-23,3.0,3.24,3.0,3.24
2023-10-27,3.51,3.6,3.51,3.54
2023-10-31,3.52,4.04,3.52,4.04
2023-11-03,3.95,4.06,3.95,4.02
2023-11-07,3.95,4.25,3.95,4.25
2023-11-11,4.19,4.37,4.09,4.37
2023-11-15,4.45,4.67,4.26,4.26
2023-11-19,4.74,4.74,4.32,4.32
2023-11-23,4.6,4.6,4.12,4.44
2023-11-27,4.61,4.71,4.6,4.66
2023-11-30,4.48,4.58,4.48,4.5
2023-12-03,4.56,4.83,4.56,4.83
2023-12-07,4.71,5.11,4.71,4.88
2023-12-11,5.08,5.58,5.08,5.58
2023-12-15,5.28,6.32,5.28,6.32
2023-12-19,7.21,10.57,7.21,9.78
2023-12-23,9.31,9.31,8.85,9.3
2023-12-27,9.47,9.81,9.25,9.25
2023-12-31,9.22,12.4,9.22,12.4
2024-01-03,13.31,13.31,13.31,13.31
